order_id,processed_at,product_id,variant_id,quantity,price,fulfillment_status,discount_amount,item_spend,fulfillment_status,order_revenue,vendor
3866376110230,2021-05-27,5557674180758,35535157624982,1,4.99,,0.5,4.49,,8.99,J
3866376110230,2021-05-27,6672880468118,39634564776086,1,4.99,,0.49,4.5,,8.99,J
3866282557590,2021-05-27,6674957140118,39639928406166,1,24.99,,0.0,24.99,,24.99,Z
3866241302678,2021-05-27,5913008046230,37048896356502,1,14.99,,1.5,13.49,,35.99,Z
3866241302678,2021-05-27,5913009717398,37048900255894,1,24.99,,2.49,22.5,,35.99,Z
3866237960342,2021-05-27,6674779340950,39639533125782,1,10.99,,0.0,10.99,,43.96,Z
3866237960342,2021-05-27,5255014023318,34749194272918,1,6.99,,0.0,6.99,,43.96,Z
3866237960342,2021-05-27,6674807357590,39639629103254,1,14.99,,0.0,14.99,,43.96,Z
3866237960342,2021-05-27,6682161643670,39659428479126,1,10.99,fulfilled,0.0,10.99,fulfilled,43.96,Z
3866079166614,2021-05-27,6758684033174,39834968785046,1,24.99,,2.5,22.49,,41.379999999999995,U
3866079166614,2021-05-27,6758689210518,39834982056086,1,9.99,,1.0,8.99,,41.379999999999995,U
3866079166614,2021-05-27,6758678823062,39834959184022,1,10.99,,1.09,9.9,,41.379999999999995,U
3866061930646,2021-05-27,5255014023318,34749194272918,1,6.99,,0.69,6.3,,6.3,Q
3864770216086,2021-05-26,6674807357590,39639629103254,1,14.99,,1.5,13.49,,22.490000000000002,F
3864770216086,2021-05-26,6674824822934,39639664361622,1,9.99,,0.99,9.0,,22.490000000000002,F
3864754061462,2021-05-26,6778578927766,39876494753942,1,4.99,,0.0,4.99,,19.98,U
3864754061462,2021-05-26,5511613087894,35356087582870,1,14.99,,0.0,14.99,,19.98,U
3864666538134,2021-05-26,5913009717398,37048900190358,1,24.99,,0.0,24.99,,60.96,Z
3864666538134,2021-05-26,5913005490326,37048887181462,1,10.99,,0.0,10.99,,60.96,Z
3864666538134,2021-05-26,5913012043926,37048905498774,1,9.99,,0.0,9.99,,60.96,Z
3864666538134,2021-05-26,5913008046230,37048896356502,1,14.99,,0.0,14.99,,60.96,Z
3864636031126,2021-05-26,6674957140118,39639928504470,1,24.99,,2.49,22.5,,22.5,Y
3864612962454,2021-05-26,6674779340950,39639533125782,1,10.99,,0.0,10.99,,25.98,P
3864612962454,2021-05-26,6674807357590,39639629103254,1,14.99,,0.0,14.99,,25.98,P
3864168398998,2021-05-26,6675065110678,39640193138838,1,24.99,,2.49,22.5,,22.5,P
3864052400278,2021-05-26,6758684033174,39834968752278,1,24.99,,0.0,24.99,,67.47,Y
3864052400278,2021-05-26,5912962597014,37048751718550,1,24.99,,0.0,24.99,,67.47,Y
3864052400278,2021-05-26,5359144140950,34817981612182,1,17.49,,0.0,17.49,,67.47,Y
3863937056918,2021-05-26,6675065110678,39640193171606,1,24.99,fulfilled,0.0,24.99,fulfilled,45.97,H
3863937056918,2021-05-26,6675066945686,39640195956886,1,10.99,fulfilled,0.0,10.99,fulfilled,45.97,H
3863937056918,2021-05-26,6675066454166,39640195432598,1,9.99,fulfilled,0.0,9.99,fulfilled,45.97,H
3863853269142,2021-05-26,6675065700502,39640194842774,1,14.99,fulfilled,1.5,13.49,fulfilled,35.99,K
3863853269142,2021-05-26,6675065110678,39640193171606,1,24.99,fulfilled,2.49,22.5,fulfilled,35.99,K
3863786913942,2021-05-26,5913009717398,37048900190358,1,24.99,fulfilled,2.5,22.49,fulfilled,44.98,E
3863786913942,2021-05-26,5913012043926,37048905498774,1,9.99,fulfilled,1.0,8.99,fulfilled,44.98,E
3863786913942,2021-05-26,5913008046230,37048896356502,1,14.99,fulfilled,1.49,13.5,fulfilled,44.98,E
3863768334486,2021-05-26,6758678823062,39834959184022,1,10.99,fulfilled,0.0,10.99,fulfilled,10.99,Z
3863718068374,2021-05-26,5255024640150,34501151555734,1,5.0,fulfilled,0.0,5.0,fulfilled,5.0,L
3863711219862,2021-05-26,5912996577430,37048865718422,1,24.99,fulfilled,2.49,22.5,fulfilled,22.5,E
3863678124182,2021-05-26,6675065110678,39640193171606,1,24.99,fulfilled,0.0,24.99,fulfilled,24.99,Q
3863510024342,2021-05-26,5511609581718,35356033745046,1,9.99,fulfilled,0.0,9.99,fulfilled,9.99,L
3863484891286,2021-05-26,5509164007574,35345840832662,1,17.49,fulfilled,0.0,17.49,fulfilled,17.49,Q
3863405494422,2021-05-26,5913009717398,37048900255894,1,24.99,fulfilled,0.0,24.99,fulfilled,49.98,O
3863405494422,2021-05-26,6117834784918,37689990676630,1,24.99,fulfilled,0.0,24.99,fulfilled,49.98,O
3862637871254,2021-05-26,5512063680662,35358835638422,1,24.99,fulfilled,0.0,24.99,fulfilled,24.99,D
